$---------------------------------------------------------------
$ Program : OFSolv 1.0.3
$
$ Design 1: Blank Thickness ........ D   [mm]
$ Design 2: Blankholder Pressure ... p   [N/mm*2]
$ Design 3: Friction Coefficient ... Fr  [/]
$ Design 4: Drawbead Forces ........ db  [N/mm]
$ Design 5: Yield Strength ......... Rp  [N/mm*2]
$
$ Target 1: Thinning ............... dD  [%]
$ Target 2: Thickening ............. dT  [%]
$ Target 3: Feasibility ............ Li  [%] .... Li = [L1 - L7]
$ Target 4: SpringBack ............. SB  [mm]
$ Target 5: ComputationTime ........ CPU [HH:MM:SS]
$
$ Part Type: A,B: in-plane Dimensions, L: Length, h: Depth (Punch Stroke) 
$    0 - Test : ............................... Stripe, Cups
$    1 - Flat : A/B <= 3.0 and h/A <= 0.2 ..... Roof, Doors, Fender
$    2 - Beam : L/B >  3.0 and h/B >  0.3 ..... Pilar, Tunnel, Beams
$    3 - Deep : A/B <= 3.0 and h/B >  0.2 ..... Wheelhouse, Tank
$
$ Row Format:
$ Nr, type , Rp  , D  ,  p , Fr , db,  dD , dT , L1 , L2 , L3 , L4 , L5 , L6 , L7 , SB ,  CPU   ,
$
$---------------------------------------------------------------
START
$---------------------------------------------------------------
$---- Part: Cylindrical Cup    Simulation: CylindricalCup   ----
$---- Type: 0, A/B = 1.0, h/B = 0.30,  Complexity: 0        ----
$---- CPUs: 2Quad CPU Q9400 @ 2.66GHz (drawing)             ----
$---------------------------------------------------------------
 101,cylindrical_cup,263.0,0.70, 4.0,0.10,  0,-22.3,20.1, 0.0,31.2,30.5,38.3, 0.0, 0.0, 0.0, 0.0,00:09:54,
 102,cylindrical_cup,263.0,0.70, 4.0,0.12,  0,-26.6,18.9, 0.0,30.5,29.6,38.2, 1.6, 0.0, 0.1, 0.0,00:09:09,
 103,cylindrical_cup,263.0,0.70, 5.0,0.06,  0,-19.8,20.6, 0.0,31.7,32.2,36.1, 0.0, 0.0, 0.0, 0.0,00:09:44,
 104,cylindrical_cup,263.0,0.70, 5.0,0.10,  0,-26.7,18.3, 0.0,30.3,30.3,37.7, 1.6, 0.0, 0.1, 0.0,00:09:33,
 105,cylindrical_cup,263.0,0.70, 5.0,0.12,  0,-34.1,16.9, 0.0,29.8,27.7,35.3, 1.4, 0.8, 5.0, 0.0,00:09:17,
$
 106,cylindrical_cup,263.0,0.80, 1.0,0.06,  0,-16.8,36.6, 0.0,35.0,29.1,35.9, 0.0, 0.0, 0.0, 0.0,98.3%
 107,cylindrical_cup,263.0,0.80, 1.0,0.10,  0,-17.6,37.3, 0.0,34.5,28.8,36.7, 0.0, 0.0, 0.0, 0.0,98.5%
 108,cylindrical_cup,263.0,0.80, 1.0,0.12,  0,-18.3,35.8, 0.0,34.7,28.2,37.1, 0.0, 0.0, 0.0, 0.0,96.7%
 109,cylindrical_cup,263.0,0.80, 2.0,0.06,  0,-17.5,23.1, 0.0,32.5,31.0,36.5, 0.0, 0.0, 0.0, 0.0,00:10:27,
 110,cylindrical_cup,263.0,0.80, 2.0,0.10,  0,-19.0,22.9, 0.0,32.1,30.6,37.3, 0.0, 0.0, 0.0, 0.0,00:23:26,
 111,cylindrical_cup,263.0,0.80, 2.0,0.12,  0,-20.1,22.1, 0.0,31.5,30.5,38.0, 0.0, 0.0, 0.0, 0.0,00:09:46,
 112,cylindrical_cup,263.0,0.80, 3.0,0.06,  0,-18.4,22.8, 0.0,31.7,31.6,36.7, 0.0, 0.0, 0.0, 0.0,00:09:57,
 113,cylindrical_cup,263.0,0.80, 3.0,0.10,  0,-20.8,21.8, 0.0,31.0,30.6,38.4, 0.0, 0.0, 0.0, 0.0,00:09:14,
 114,cylindrical_cup,263.0,0.80, 3.0,0.12,  0,-23.0,20.9, 0.0,30.6,29.6,39.8, 0.0, 0.0, 0.0, 0.0,00:09:49,
 115,cylindrical_cup,263.0,0.80, 4.0,0.06,  0,-19.6,22.2, 0.0,30.8,32.0,37.2, 0.0, 0.0, 0.0, 0.0,00:09:10,
 116,cylindrical_cup,263.0,0.80, 4.0,0.10,  0,-22.7,20.6, 0.0,30.3,29.8,39.9, 0.0, 0.0, 0.0, 0.0,00:09:08,
 117,cylindrical_cup,263.0,0.80, 4.0,0.12,  0,-27.5,19.3, 0.0,29.6,28.0,39.8, 1.4, 0.2, 1.0, 0.0,00:08:28,
 118,cylindrical_cup,263.0,0.80, 5.0,0.06,  0,-20.4,20.9, 0.0,30.5,31.8,37.7, 0.0, 0.0, 0.0, 0.0,00:09:11,
 119,cylindrical_cup,263.0,0.80, 5.0,0.10,  0,-26.8,19.2, 0.0,29.1,29.7,39.3, 1.7, 0.1, 0.1, 0.0,00:09:10,
 120,cylindrical_cup,263.0,0.80, 5.0,0.12,  0,-34.9,17.4, 0.0,28.2,27.2,36.9, 1.4, 0.7, 5.6, 0.0,00:08:42,
$
 121,cylindrical_cup,263.0,0.90, 1.0,0.06,  0,-18.1,28.3, 0.0,35.3,27.3,37.4, 0.0, 0.0, 0.0, 0.0,94.9%
 122,cylindrical_cup,263.0,0.90, 1.0,0.10,  0,-19.4,36.0, 0.0,33.4,28.0,38.6, 0.0, 0.0, 0.0, 0.0,97.2%
 123,cylindrical_cup,263.0,0.90, 1.0,0.12,  0,-19.8,34.2, 0.0,32.8,28.3,38.9, 0.0, 0.0, 0.0, 0.0,99.7%
 124,cylindrical_cup,263.0,0.90, 2.0,0.06,  0,-19.0,23.8, 0.0,30.9,30.9,38.2, 0.0, 0.0, 0.0, 0.0,00:09:29,
 125,cylindrical_cup,263.0,0.90, 2.0,0.10,  0,-20.4,22.7, 0.0,30.7,30.1,39.2, 0.0, 0.0, 0.0, 0.0,00:09:43,
 126,cylindrical_cup,263.0,0.90, 2.0,0.12,  0,-21.7,22.6, 0.0,30.4,29.5,40.1, 0.0, 0.0, 0.0, 0.0,00:09:59,
