  16,Sitzschale,250.0,1.10, 9.0,0.03,800,-35.8, 3.3,   0.2, 6.9,16.2,76.6, 0.0, 0.0, 0.0,   0.0,
  17,DACH-VWS,140.0,0.70, 3.0,0.00,  0, -7.6, 7.1,  38.8,34.3,15.8,11.0, 0.0, 0.0, 0.0,   0.0,
  18,DACH-VWS,140.0,0.70, 3.0,0.00,220,-12.0, 3.2,  14.3,13.2,10.4,62.1, 0.0, 0.0, 0.0,   0.0,
  19,DACH-VWS,140.0,0.70, 3.0,0.06,800,-24.9, 0.9,   1.9, 9.8, 2.4,85.8, 0.0, 0.0, 0.0,   0.0,
  20,DACH-VWS,140.0,0.70, 6.0,0.06,800,-25.3, 0.5,   1.9, 9.1, 3.1,85.9, 0.0, 0.0, 0.0,   0.0,
  21,DACH-VWS,140.0,0.70, 9.0,0.06,800,-26.5, 0.4,   1.4, 4.0, 8.0,86.6, 0.0, 0.0, 0.0,   0.0,
  22,DACH-VWS,140.0,0.70, 9.0,0.06,220,-22.2, 0.4,   0.5, 2.6, 9.1,87.8, 0.0, 0.0, 0.0,   0.0,
  23,LTR_02,712.0,0.80, 1.0,0.03,  0,-18.4,15.6,  11.8,26.1,19.2,42.9, 0.0, 0.0, 0.0,   0.0,
  24,LTR_02,712.0,1.00, 1.0,0.03,  0,-30.4,20.2,  10.1,26.1,18.2,45.6, 0.0, 0.0, 0.0,   0.0,
  25,LTR_02,597.0,1.00, 1.0,0.03,  0,-30.4,20.2,  10.1,26.1,18.2,45.6, 0.0, 0.0, 0.0,   0.0,
  26,LTR_02,597.0,1.00, 2.0,0.03,  0,-25.9,20.8,   9.2,23.0,16.5,51.3, 0.0, 0.0, 0.0,   0.0,
  27,LTR_02,597.0,1.00, 2.0,0.06,  0,-31.7,20.0,   8.6,22.6,15.3,53.4, 0.0, 0.0, 0.0,   0.0,
  28,LTR_02,597.0,1.00, 2.0,0.12,  0,-28.1,17.3,   7.9,21.9,12.9,57.2, 0.0, 0.0, 0.0,   0.0,
